miRNA,Gene
hsa-miR-30c-1-3p,CRKL
hsa-miR-32-5p,CRKL
hsa-miR-330-3p,CRKL
hsa-miR-340-5p,CRKL
hsa-miR-424-5p,CRKL
hsa-miR-455-5p,CRKL
hsa-miR-485-5p,CRKL
hsa-miR-497-5p,CRKL
hsa-miR-508-5p,CRKL
hsa-miR-510-5p,CRKL
hsa-miR-650,CRKL
hsa-miR-661,CRKL
hsa-miR-665,CRKL
hsa-miR-7-5p,CRKL
hsa-miR-761,CRKL
hsa-miR-766-3p,CRKL
hsa-miR-873-5p,CRKL
hsa-miR-887-5p,CRKL
hsa-miR-890,CRKL
hsa-miR-922,CRKL
hsa-miR-940,CRKL
hsa-miR-944,CRKL
hsa-miR-98-5p,CRKL
hsa-miR-106a-5p,CSNK1A1
hsa-miR-106b-5p,CSNK1A1
hsa-miR-1236-3p,CSNK1A1
hsa-miR-1244,CSNK1A1
hsa-miR-1297,CSNK1A1
hsa-miR-136-5p,CSNK1A1
hsa-miR-153-3p,CSNK1A1
hsa-miR-155-5p,CSNK1A1
hsa-miR-17-5p,CSNK1A1
hsa-miR-181a-5p,CSNK1A1
hsa-miR-181b-5p,CSNK1A1
hsa-miR-181c-5p,CSNK1A1
hsa-miR-181d-5p,CSNK1A1
hsa-miR-186-5p,CSNK1A1
hsa-miR-199a-3p,CSNK1A1
